id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
10068,青蟹,商業、交通,ceng haai,青1蟹5,港幣十元,,
10069,屋,房屋,uk,屋7,房子,樓房,整座的房屋
10070,丁屋,房屋,ding uk,丁1屋7,男丁的房子,,
10071,單位,房屋,daan wai,單1位6*2,套間,單元,
10072,棚寮,房屋,paang liu,棚4寮4,(沒有對應詞彙),,建築工人的臨時簡易住房
10073,寮屋,房屋,liu uk,寮4屋7,(不是粵方言詞),,"同""""茅寮"""""
10074,艇屋,房屋,teng ok,艇5屋7,(沒有對應詞彙),,蛋民或水上人家亦屋亦舟的居所
10075,白鴿籠,房屋,baak gap \ gaap lung,白6鴿2籠4,狹小的居屋,斗室,
10076,廳,房屋,teng,廳1,客廳,,
10077,房,房屋,fong,房4*2,(不是粵方言詞),,非粵方言詞。
10078,士多房,房屋,si do fong,士6多1房4*2,儲物間,,
10079,屎坑,房屋,si haang,屎2坑1,廁坑,廁所,廁所的舊稱。
10080,沖涼房,房屋,cung loeng fong,沖1涼4房4*2,盥洗室,洗澡間,
10081,尾房,房屋,mei fong,尾5房4*2,最裏間的房子,,同一層樓的最後的房間
10082,地庫,房屋,dei fu,地6庫3,地下室,,
10083,地廬,房屋,dei lou,地6廬4,地下室,,
10084,閣仔,房屋,gok zai,閣8(8*2)仔2,(不是粵方言詞),,
10085,紙碎,其他,zi seoi,紙2碎3*2,紙屑,碎紙,
10086,頭,其他,jin tau,1頭4*2,蒂,屁股,
10087,紅肉,飲食,hung juk,紅4肉6,豬牛等的肉,,
10088,雜,飲食,zaap,雜9,禽畜內臟,雜碎,(供食用的)禽畜內臟
10089,下欄,其他,haa laan,下6欄4,下水,,禽畜肉類中品質較次的部分
10090,,飲食,jeoi,2,禽畜的肝臟,,
10091,粉腸,飲食,fan coeng,粉2腸4*2,家畜的小腸,,"普通話有此詞,惟所指不同。"
10092,間花腩,飲食,gaan faa naam,間3花1腩5,五花肉,,
10093,坑腩,飲食,haang naam,坑1腩5,牛肋骨下的肉,,
10094,白肉,飲食,baak jok,白6肉6,或魚等的肉,,
10095,腑胵(扶翅),飲食,fu ci,腑4胵2(扶翅),禽類的內臟,,(鵝鴨等)禽類的內臟
10096,球,飲食,gai kau,1球4,肉塊,,
10097,殼,飲食,gai hok,1殼8,骨架,,(去掉大部分肉和內臟的)骨架
10098,紅,飲食,gai hung,1紅4,血,,
10099,鴨扑,飲食,aap pok,鴨8扑8,鴨骨架,,(去掉大部分肉和內臟的)鴨骨架
10100,刺身,飲食,zi san,刺3身1,(沒有對應詞彙),,生吃用的魚、蝦肉
10101,蝦轆,飲食,haa luk,蝦1轆7,(不是粵方言詞),,
10102,蝦球,飲食,haa kau,蝦1球4,(不是粵方言詞),,
10103,粘米,植物、糧菜、果品,zim mai,粘1米4,(非粘性)稻米,(泛指)非粘性米，與糯米相對,
10104,銀粘,植物、糧菜、果品,ngan zim,銀4粘1,(不是粵方言詞),,一種非粘性米
10105,腸粉,飲食,coeng fan,腸4*2粉2,豬腸粉,,
10106,伊麵,飲食,ji min,伊1麵6,(沒有對應詞彙),,"經油炸處理的麵條。同""""伊府麵"""""
10107,炒麵,飲食,caau min,炒2麵6,(沒有對應詞彙),,"炒麵--團狀半濕麵條,同""""濕麵"""""
10108,支竹,飲食,zi zuk,支1竹7,腐竹,,
10109,豆沙,飲食,dau saa,豆6沙1,(不是粵方言詞),,豆子煮爛加糖做餡用。非粵方言詞。
10110,霉菜,植物、糧菜、果品,mui coi,霉4菜3,泡菜,,(以芥菜腌製而成)泡菜
10111,菜脯,植物、糧菜、果品,coi pou,菜3脯2,腌蘿卜乾,鹽腌的蘿蔔條,
10112,蓮茸(蓉),飲食,lin jung,蓮4茸4(蓉),(不是粵方言詞),,
10113,椰茸,植物、糧菜、果品,je jung,椰4茸4,椰子肉末,,
10114,椰絲,植物、糧菜、果品,je si,椰4絲1,(沒有對應詞彙),,以椰子肉刨成的細絲
10115,菜,植物、糧菜、果品,coi daam,菜32,菜芯,蔬菜芯莖,
10116,菜乾,植物、糧菜、果品,coi gon,菜3乾1,乾菜,,
10117,度,植物、糧菜、果品,cung dou,2度9*2,一寸長的段,,
10118,魚蛋,飲食,jyu daan,魚4蛋6*2,魚肉丸子,,
10119,魚腐,飲食,jyu fu,魚4腐6,油炸魚糜塊,,
10120,蚝豉,飲食,hou si,蚝4豉6*2,牡犡乾,,
10121,旺菜,植物、糧菜、果品,wong coi,旺6菜3,淡菜,,
10122,土魷,飲食,tou jau,土2魷4*2,魷魚乾兒,,槍烏賊的乾製品
10123,風腸,飲食,fung coeng,風1腸4*2,臘腸,廣式香腸,
10124,紅腸,飲食,hung coeng,紅4腸4*2,西式香腸,,
10125,盒仔飯,飲食,hap zai faan,盒6仔2飯6,盒飯,,
10126,碟頭飯,飲食,dip tau faan,碟9頭4*2飯6,(不是粵方言詞),,用碟子盛的份兒飯
10127,碗頭飯,飲食,wun tau faan,碗2頭4*2飯6,蓋澆飯,配有菜肴的份飯,"同""""碟頭飯""""(但以大碗盛放)"
10128,爛飯,飲食,laan faan,爛6飯6,煮得很軟的飯,,
10129,冷飯,飲食,laang faan,冷5飯6,剩飯,,
10130,飯焦,飲食,faan ziu,飯6焦1,鍋巴,,
10131,艇仔粥,飲食,teng zai zuk,艇5仔2粥7,(沒有對應詞彙),,粥品一種
10132,撈麵,飲食,lou min,撈1麵6,(不是粵方言詞),,
10133,牛河,飲食,ngau ho,牛4河4*2,(沒有對應詞彙),,牛肉片炒沙河粉
10134,唐餐,飲食,tong caan,唐4餐1,中式菜肴,,
10135,招牌菜,飲食,ziu paai coi,招1牌4菜3,特色的菜式,,(飯店、酒樓推出的)特色的菜式
10136,蒸水蛋,飲食,zing seoi daan,蒸1水2蛋6*2,(不是粵方言詞),,
10137,五蛇羹,飲食,ng se gang,五5蛇4羹1,(沒有對應詞彙),,用五種蛇肉羹熬製的湯
10138,湯水,飲食,tong seoi,湯1水2,湯,,
10139,例湯,飲食,lai tong,例6湯1,普通湯,,餐廳、酒樓提供的普通湯
10140,羅宋湯,飲食,lo sung tong,羅4宋3湯1,俄式番茄湯,,
10141,炖品,飲食,dan ban,炖6品2,(沒有對應詞彙),,長時間蒸制的湯或半流質食品
10142,五柳魚,飲食,ng lau jyu,五5柳5魚4*2,醋溜魚,,
10143,燒臘,飲食,siu laap,燒1臘9,烤制肉食的總稱,,
10144,燒鵝,飲食,siu ng,燒1鵝4*2,烤鵝,,
10145,燒鴨,飲食,siu aap,燒1鴨8(8*2),烤鴨,,
10146,脆皮,飲食,ceoi pei gai,脆3皮4*21,烤,,
10147,鹽焗,飲食,ceoi guk gai,鹽4焗91,鹽燜熟的,,
10148,白切,飲食,baak cit gai,白9切81,沸水煮熟的,,
10149,霸王鴨,飲食,baa wong aap,霸3王4鴨8*2,(沒有對應詞彙),,以糯米等充填鴨腹而做成的菜肴
10150,咕嚕肉,飲食,gu lou juk,咕1嚕1肉9,糖醋炸肉,糖醋炸里脊,
10151,龍虎鳳,飲食,lung fu fung,龍4虎2鳳6,(沒有對應詞彙),,"以蛇,貓,的肉為主要用料的菜肴"
10152,冬瓜盅,飲食,dung gwaa zung,冬1瓜1盅1,著名粵菜,,以冬瓜肉類做成的菜肴
10153,扒,飲食,paa,扒2,肉排,,
10154,沙律,飲食,saa leot,沙1律8,色拉,涼拌雜菜,
10155,茶果,飲食,caa gw,茶4果2,茶食,,
10156,仔餅,飲食,gai zai beng,1仔2餅2,(沒有對應詞彙),,一種以糖腌肉作餡的餅食
10157,湯丸,飲食,tong jyun,湯1丸2,湯圓,,
10158,雲吞,飲食,wan tan,雲4吞1,廣式餛飩,,
10159,叉燒包,飲食,caa siu baau,叉1燒1包1,(沒有對應詞彙),,以紅燒肉作餡的包子
10160,粉角,飲食,fan gok,粉2角8*2,(沒有對應詞彙),,一種咸點心
10161,盲公餅,飲食,mong gung beng,盲1公1餅2,(沒有對應詞彙),,小甜餅的一種
10162,糯米,飲食,no mai ci,糯6米54,(沒有對應詞彙),,點心一種
10163,炸麵,飲食,zaa min,炸3麵6,油條,,"同""""油炸鬼"""""
10164,煎堆,飲食,zin deoi,煎1堆1,(沒有對應詞彙),,春節食品一種
10165,糖環,飲食,tong waan,糖4環4,(沒有對應詞彙),,環狀的油炸甜麵食
10166,笑口棗,飲食,siu hau zou,笑3口2棗2,開口笑,開口棗,(一種油炸食品)
10167,仔糕,飲食,bud zai gou,8仔2糕1,(沒有對應詞彙),,發麵糕一種
10168,曲奇,飲食,kuk gei,曲7奇4,小甜餅,,
10169,多士,飲食,do si,多1士2,烤麵包片,吐司,
10170,油多,飲食,jau do,油4多1,牛油多士,,油多--牛油多士的簡稱。
10171,班戟,飲食,baan gik,班1戟7,薄煎餅,,
10172,克力架,飲食,haak \ hak lek gaa,克7力9架2,鬆脆餅,,
10173,披莎,飲食,pei saa,披1莎1,意大利式薄餅,比薩餅,
10174,撻,飲食,taat,撻7,露餡餅,,
10175,布甸,飲食,bou din,布3甸6,布丁,,
10176,蛋卷,飲食,daan gyun,蛋6卷2,雞蛋卷,,以蛋作主要原料的筒形點心
10177,黃糖,飲食,wong tong,黃4糖4,紅糖,,
10178,蜜糖,飲食,mo tong,蜜6糖4,(不是粵方言詞),,
10179,冰片糖,飲食,beng pin tong,冰1片3糖4,一種優質紅糖,,
10180,生鹽,飲食,saang jim,生1鹽4,粗鹽,,未經加工的粗鹽
10181,熟鹽,飲食,suk jim,熟6鹽4,(不是粵方言詞),,(經過細加工的)精鹽
10182,熟油,飲食,suk jau,熟6油4,(不是粵方言詞),,經過熟加工的食用油
10183,老抽,飲食,lou cau,老5抽1,(沒有對應詞彙),,1.一種色濃味淡的醬油。2.一種熟醬油
10184,沙爹,飲食,saa de,沙1爹1,沙茶醬,,
10185,蒜茸,植物、糧菜、果品,syun jung,蒜3茸4,(不是粵方言詞),,
10186,薑茸,植物、糧菜、果品,goeng jung,薑1茸4,薑泥,,
10187,薑,植物、糧菜、果品,goeng cung,薑11,(沒有對應詞彙),,"薑,的搗碎物加油鹽等"
10188,果占,飲食,gwo zim,果2占1,果醬,果子醬,
10189,汁,飲食,gip zap,7汁7,番茄汁,,
10190,谷古,飲食,guk gu,谷7古2,可可粉,,
10191,咖喱,飲食,gaa lei,咖3喱1,咖喱粉,咖喱醬,
10192,泡打粉,飲食,baau daa fan,泡1打2粉2,發酵粉劑,,
10193,土炮,飲食,tou paau,土2炮3,(本地產的)劣質酒,,
10194,雙蒸,飲食,soeng zing,雙1蒸1,燒酒,,(經兩次蒸餾的)燒酒
10195,撥蘭地,飲食,baat laan dei,撥9蘭1地2,(不是粵方言詞),,
10196,酒,飲食,lam zau,1酒2,蘭姆酒,,
10197,酒,飲食,bud zau,7酒2,(沒有對應詞彙),,葡萄牙所產的餐酒
10198,老番涼茶,飲食,lou faan loeng caa,老6番1涼4茶4,啤酒,,
10199,番鬼佬涼茶,飲食,faan gwai lou loeng caa,番1鬼2佬2涼4茶4,啤酒,,"同""""老番涼茶"""""
10200,清酒,飲食,ceng zau,清1酒2,日本米酒,,
10201,七星茶,飲食,cat sing caa,七1星1茶4,(沒有對應詞彙),,一種以七味中葯配制而成的兒童飲料
10202,茶包,飲食,caa baau,茶4包1,袋泡茶,,
10203,齋啡,飲食,zaai fe,齋1啡1,不加糖奶的咖啡,,
10204,荷蘭水,飲食,ho laan seoi,荷4蘭4*1水2,汽水,,
10205,滾水,飲食,gwan seoi,滾2水2,(不是粵方言詞),,
10206,茶,飲食,caa,茶4,開水,白開水,
10207,口立濕,植物、糧菜、果品,hau lap sap,口2立9濕7,零食,零吃兒,"同""""口"""""
10208,鹹酸,飲食,haam syun,鹹4酸1,(沒有對應詞彙),,醋腌瓜菜的總稱
10209,送口果,飲食,sung hau gwo,送3口2果2,(沒有對應詞彙),,用以佐服中葯的果脯
10210,爆谷,飲食,baau gok,爆3谷7,(沒有對應詞彙),,以高溫炒或烘稻谷
10211,拖肥,飲食,to fei,拖1肥4,太妃糖,,
10212,喱,飲食,ze lei,1喱2,果凍,,
10213,嘉應子,飲食,gaa jing zi,嘉1應3子2,蜜餞李子,,
10214,飛機欖,飲食,fei gei laam,飛1機1欖2,腌橄欖,,
10215,和味欖,飲食,wo mei laam,和4味6欖2,腌橄欖,,"同""""飛機欖"""""
10216,摩登瓜子,飲食,mo dang gwaa zi,摩1登1瓜1子2,(不是粵方言詞),,
10217,鹹脆花生,飲食,haam ceoi faa sang,鹹4脆3花1生1,五香花生仁,,"同""""南乳肉"""""
10218,鹹姜,飲食,haam goeng,鹹4姜1,鹽腌姜片,鹽腌姜絲,
10219,糖冬瓜,飲食,tong dung gwaa,糖4冬1瓜1,糖腌冬瓜條,,
10220,番薯糖,飲食,faan syu tung,番1薯4糖4*2,甘薯塊煮糖水,,
10221,蛋茶,飲食,daan caa,蛋6*2茶4,糖水煮蛋,,
10222,糖水,飲食,tong seoi,糖4水2,甜品的總稱,,
10223,豆腐花,飲食,dau fu faa,豆6腐6花1,豆腐腦兒,,"寧:北方的""""豆腐腦""""是鹹食,南方""""豆腐花""""甜食,並不完全對應。"
10224,薑醋,飲食,goeng cou,薑1醋3,(沒有對應詞彙),,以薑醋為主要材料制成的食品
10225,豬腳姜,飲食,zyu goek goeng,豬1腳8姜1,(沒有對應詞彙),,以姜醋製的豬後腿
10226,奶昔,飲食,naai sik,奶5昔1,(沒有對應詞彙),,牛奶加冰淇淋的混合食品。
10227,新地,飲食,san dei,新1地2,(沒有對應詞彙),,水果堅果雜拌冰淇淋
10228,雪批,飲食,syut pai,雪8批1,冰棍形的冰淇淋,,
10229,架,工具、材料,gaa caang,架21,工具的總稱,,
10230,士巴拿,工具、材料,si baa naa,士6巴1拿2,扳手,,擰螺絲用的扳手。
10231,,工具、材料,naat gai,81,電烙鐵,烙鐵,
10232,電筆,工具、材料,din bat,電6筆7,測電螺絲刀,,
10233,挑,工具、材料,daan tiu,3挑1,扁,,
10234,竿,工具、材料,daam gon,3竿1,扁,,"同""""挑"""""
10235,竹篙,工具、材料,zuk gou,竹7篙1,長竹竿,,
10236,,工具、材料,lip,7,垂直電梯,,
10237,纜,工具、材料,laam,纜6,粗繩,纜繩,
10238,威,工具、材料,wai jaa,威12,鋼絲繩,鋼纜,
10239,漁絲,工具、材料,jyu si,漁4絲1,(不是粵方言詞),,
10240,纈,其他,lit,纈8,結,,
10241,通,工具、材料,dong,通1,管子,,"管子,特指金屬管"
10242,鋼骨,工具、材料,gong gwat,鋼3骨7,鋼筋,,
10243,星鐵,工具、材料,sing tit,星1鐵8,鍍鋅鐵皮,,
10244,飛機銻,工具、材料,fei gei tai,飛1機1銻1,鋁合金,,
10245,金磚,工具、材料,gam zyun,金1磚1,(不是粵方言詞),,非粵方言詞。
10246,鋁磚,工具、材料,leoi zyun,鋁6磚1,鋁錠,,
10247,發泡膠,工具、材料,faat pou gaau,發8泡5膠1,泡沫塑料,,
10248,生膠,工具、材料,saang gaau,生1膠1,(不是粵方言詞),,非粵方言詞。
10249,熟膠,工具、材料,suk gaau,熟9膠1,(不是粵方言詞),,
10250,油渣,工具、材料,jau zaa,油4渣1,輕柴油,,
10251,雪油,工具、材料,syut jau,雪8油4*2,潤滑脂,黃油,
10252,機油,工具、材料,gei jau,機1油4*2,潤滑油,,
10253,電油,工具、材料,din jau,電6油4,汽油,,
10254,蠟青,工具、材料,laap ceng,蠟9青1,瀝青,,
10255,黑渣,工具、材料,hak zaa,黑9渣1,(沒有對應詞彙),,一種工業用燃料
10256,摩打,工具、材料,mo daa,摩1打2,(不是粵方言詞),,
10257,波子,工具、材料,bo zi,波1子2,滾珠,,
10258,波珠,工具、材料,bo zyu,波1珠1,滾珠,,
10259,絲帽,工具、材料,lo mou,絲4帽6*2,螺母,螺帽,
10260,倒牙,工具、材料,dou ngaa,倒2牙4*2,左旋螺紋,,
10261,攝鐵,工具、材料,sip tit,攝8鐵3,磁鐵,,
10262,杉,工具、材料,caam,杉3,長杉木材,,
10263,生埃,其他,saang aai,生1埃1,氰化物,山,
10264,雪種,其他,syut zung,雪8種2,冷凍劑,,(製冷設備的)冷凍劑
10265,生雪,其他,saang syut,生1雪8,人造冰,,
10266,鐳射,其他,leoi se,鐳4射6,激光,,
10267,基,其他,gei,基1,堤壩,田埂,
10268,桑基,其他,song gei,桑1基1,壟,,"(魚塘與魚塘之間的)壟,珠江三角洲的農民多於其上植桑,故名"
10269,壢,其他,lek,壢6,畦,田壟,
10270,水塘,其他,seoi tong,水2塘4,水庫,,
10271,壆,房屋,bok,壆8,堤壩,壟,
10272,基圍,其他,gei wai,基1圍4,堤壩,,
10273,牛欄,其他,ngau laan,牛4欄4*1,牛圈,,
10274,滴露,其他,dek lou,滴6露6,(不是粵方言詞),,
10275,巴士,商業、交通,baa si,巴1士2,公共汽車,,
10276,直通巴士,商業、交通,zik tung baa si,直9通1巴1士2,(沒有對應詞彙),,直達長途公共汽車
10277,中巴,商業、交通,zung baa,中1巴1,中型公共汽車,,
10278,小巴,商業、交通,siu baa,小2巴1,小型公共汽車,,
10279,市虎,商業、交通,si fu,市5虎2,汽車,,市虎--喻城市裡的汽車
10280,泥頭車,商業、交通,nai tau ce,泥4頭4車1,(沒有對應詞彙),,運送餘泥、沙石的貨車
10281,房車,商業、交通,fong ce,房4車1,小轎車,,
10282,座駕,商業、交通,zo gaa,座6駕3,私人小汽車,,
10283,錢七,商業、交通,cin cat,錢4七7,(沒有對應詞彙),,老爺車、舊機器等
10284,電單車,商業、交通,din daan ce,電6單1車1,機器腳踏車,兩輪摩托車,
10285,鐵馬,商業、交通,tit maa,鐵8馬5,喻兩輪摩托車,,
10286,拖頭,商業、交通,to tau,拖3頭5,(沒有對應詞彙),,集裝箱車的駕駛室部分
10287,後卡,商業、交通,hau kaa,後6卡7,拖掛車廂,,"「後卡」同""""拖卡"""""
10288,直通車,商業、交通,zik tung ce,直9通1車1,(不是粵方言詞),,非粵方言詞。
10289,餐卡,商業、交通,caan kaa,餐1卡1,餐車,,
10290,手車,商業、交通,sau ce,手2車1,手推車,,
10291,木頭車,商業、交通,muk tau ce,木6頭4車1,手推車,,"裝載貨物,以便沿街叫賣的手推車"
10292,(),商業、交通,taai,5(),汽車方向盤,,
10293,逼力,商業、交通,bik lik,逼7力9,剎車裝置,,
10294,腳制,商業、交通,goek zai,腳8制3,腳踏剎車裝置,,
10295,手制,商業、交通,sau zai,手2制3,(沒有對應詞彙),,用手操作的剎車裝置
10296,自動波,商業、交通,zi dung bo,自6動6波1,(沒有對應詞彙),,自動換檔/自動變速裝置
10297,棍波,商業、交通,gwan bo,棍3波1,手動換檔裝置,,
10298,波棍,商業、交通,bo gwan,波1棍3,換檔杆,變速杆,
10299,波箱,商業、交通,bo soeng,波1箱1,變速箱,,
10300,火嘴,商業、交通,fo zeoi,火2嘴2,火花塞,,(內燃機的)火花塞
10301,座艙,商業、交通,zo coeng,座6艙1,客艙,,客輪中僅設座位、不設臥鋪的客艙
10302,,商業、交通,dou,2,輪渡及內河客船,,
10303,橫水,商業、交通,waang seoi dou,橫4水22,渡江小艇,,
10304,拖,商業、交通,to dou,拖12,(沒有對應詞彙),,"一種無動力的內河客船。同""""花尾"""""
10305,小輪,商業、交通,siu leon,小2輪4,小型輪船,輪渡,
10306,飛翔船,商業、交通,fei coeng syun,飛1翔4船4,氣墊船,,
10307,太空穿梭機,商業、交通,taai hung cyun,太3空1穿1梭1機1,航天飛機,,
10308,斑馬,商業、交通,baan maa sin,斑1馬53,人行橫道,,
10309,花圈,其他,faa hyun,花1圈1,街心小花園,,馬路交處的小型花圃
10310,徑,商業、交通,gaang,徑3,小路,,詞義與普通話相同。
10311,車路,商業、交通,ce lou,車1路6,鐵路,鐵道,
10312,車軌,商業、交通,ce gwai,車1軌2,鋼軌,路軌,
10313,埠()頭,商業、交通,bou tau,埠6(4)頭,碼頭,,
10314,磚刀,工具、材料,zyun dou,磚1刀1,砌墻刀,,
10315,棚架,房屋,paang gaa,棚4架3*2,支撐架,,(建築工程中的)支撐架、腳手架、升降架的總稱
10316,排柵,房屋,paai saan,排4柵1,腳手架,,
10317,紅磚,房屋,hung zyun,紅4磚1,(沒有對應詞彙),,紅色的砌墻用磚
10318,花階磚,房屋,faa gaai zyun,花1階1磚1,(沒有對應詞彙),,有圖案花紋的地板磚
10319,光瓦,房屋,gwong ngaa,光1瓦5,透明瓦,,
10320,海鏡,其他,hoi geng,海2鏡3,(沒有對應詞彙),,"一種海貝的名稱,其殼半透明,可磨製為透明氣"
10321,蠟青紙,工具、材料,laap ceng zi,蠟9青1紙2,油,,
10322,窗花,房屋,coeng faa,窗1花1,窗欞,窗格子,
10323,窗枝,房屋,coeng zi,窗1枝1,窗柵欄,窗上的鐵欄,
10324,窗,房屋,coeng ngau,窗11,窗鋁,,
10325,窗門,房屋,coeng mun,窗1門7*2,窗戶,窗扇,
10326,戌,房屋,seot,戌7,門窗的插銷,,
10327,鐵閘,房屋,tit zaap,鐵3閘9,鐵柵門,,
10328,骹(鉸),房屋,gaau,骹3(鉸),(門窗)合頁,,
10329,唐樓,房屋,tong lau,唐4樓4*2,中式樓房,,
10330,假石屎樓,房屋,gaa sek si lau,假6石2屎2樓4*2,(沒有對應詞彙),,外墻用水洗石粒灰漿塗抹的磚木結構樓房
10331,騎樓,房屋,ke lau,騎2樓4*2,(沒有對應詞彙),,馬路兩旁的建築物
10332,露台,房屋,lou toi,露6台4,陽台,,
10333,石級,房屋,sek kap,石9級7,台階,,
10334,冷巷,房屋,laang hong,冷5巷6*2,狹窄通道,走廊,建築物間的狹窄通道 / 建築物內部的走廊
10335,單牏墻,房屋,daan jyu coeng,單1牏2墻4,單磚兒墻(口),,一行磚砌成的墻壁
10336,瓦背頂,房屋,ngaa bun deng,瓦5背3(3*2)頂2,房頂,,
10337,瓦背,房屋,ngaa bun,瓦5背3*2,房頂,,"同""""瓦背頂"""""
10338,瓦面,房屋,ngaa min,瓦2面6*2,房頂,,"同""""瓦背頂"""""
10339,瓦坑,房屋,ngaa haang,瓦5坑1,瓦壟的凹槽,房頂,"也作""""瓦桁"""""
10340,薄絨,服飾,bok jung,薄6絨4*2,薄呢子,毛料,
10341,連仁,服飾,lin jan,連4仁4,(沒有對應詞彙),,(外來詞)亞麻、亞麻布及其制品
10342,茄士咩,服飾,ke si me,茄1士6咩1,開司米,,
10343,皮草,服飾,pei cou,皮4草2,毛皮,,
10344,鈒骨機,服飾,zaap gwat gei,鈒9骨7機1,包邊兒機,包縫兒機,
10345,夾板,房屋,gaap baan,夾8板2,膠合板,,
10346,方,房屋,fong,方1,木方,,
10347,油,房屋,jau,油4*2,油漆,,(名詞)
10348,大油,房屋,daai jau,大6油4*2,色漆,,
10349,士叻,房屋,si lek,士6叻7,蟲膠漆,,
10350,天拿水,工具、材料,tin naa seoi,天1拿2水2,香蕉水,,
10351,波板,文化、娛樂,bo baan,波1板2,乒乓球拍,,
10352,波,文化、娛樂,bo toi,波12,球台,,
10353,,工具、材料,gai,1,哨子,,
10354,銀,工具、材料,ngan gai,銀41,(不是粵方言詞),,"同"""""""""
10355,演,文化、娛樂,jin,演2,(不是粵方言詞),,
10356,龍船,文化、娛樂,lung syun,龍4船4,龍舟,,
10357,水抱,工具、材料,seoi pou,水2抱5,救生圈,,
10358,千秋,文化、娛樂,cin cau,千1秋1,秋千,鞦韆,"普通話""""千秋""""有另二解--1.泛指時間很長；;2.舊時指人的壽辰"
10359,色士風,文化、娛樂,sik si fung,色7士6風1,薩克斯管,,
10360,紅十字車,商業、交通,hung sap zi ce,紅4十9字6車1,救護車,,
10361,救傷車,商業、交通,gau soeng ce,救3傷1車1,救護車,,
10362,白車,商業、交通,baak ce,白9車1,救護車,,
10363,探熱針,工具、材料,taam jit zam,探3熱9針1,體溫表,體溫計,
10364,聽筒,工具、材料,teng tung,聽1筒4*2,聽診器,,
10365,針筒,工具、材料,zam tung,針1筒4*2,注射器,針管兒,
10366,紅汞水,工具、材料,hung hung seoi,紅4汞3水2,汞溴紅,紅汞,
10367,寶塔餅,服飾,bou taap beng,寶2塔8餅2,小兒用驅蟲藥,,
10368,藥餅,其他,joek beng,藥6餅2,葯片,,
10369,火酒,工具、材料,fo zau,火2酒2,酒精,,火酒(即'乙醇')
10370,湯葯,工具、材料,tong joek,湯1葯9,中葯水劑,,(詞義與普通話相同)
10371,清補涼,飲食,zeng bou loeng,清1補2涼4*2,(沒有對應詞彙),,1.一種熬湯用的配套中成葯。2.解暑湯料一種
10372,厘戥,其他,lei dang,厘4戥2,小型杆秤,戥子(輕聲),
10373,士多,商業、交通,si do,士6多1,雜貨店,雜貨鋪兒(方),
10374,便利店,商業、交通,bin lei dim,便6利6店3,(沒有對應詞彙),,晝夜營業的雜貨店
10375,精品店,商業、交通,zeng ban dim,精1品2店3,(不是粵方言詞),,專營中小型高級商品的商店
10376,檔攤,商業、交通,dong taan,檔3攤1,貨攤,,"同""""檔口"""""
10377,菜欄,商業、交通,coi laan,菜3欄4*1,菜棧,蔬菜批發店,舊時批發蔬菜的地方
10378,海味鋪,商業、交通,goi mei pou,海2味6*2鋪3*2,(沒有對應詞彙),,專營海產乾貨的商店
10379,南北行,商業、交通,naam bak hong,南4北7行4*2,(沒有對應詞彙),,經營轉口貿易的商行 / 經營國內外貿易的私人商行
10380,大金魚缸,商業、交通,daai gam jyu gong,大6金1魚4缸1,(喻)股票交易所,,
10381,寫字樓,房屋,se zi lau,寫2字6樓4,(不是粵方言詞),,
10382,票房,房屋,piu fong,票3房4,售票處,,
10383,街市,房屋,gaai si,街1市5,菜市場,,"(普通話有此詞,惟詞義不同)"
10384,米尺,工具、材料,mai cek,米1尺8,(沒有對應詞彙),,一米長刻度的尺子
10385,膠紙袋,工具、材料,gaau zi doi,膠1紙2袋6*2,(不是粵方言詞),,
10386,街招,商業、交通,gaai ziu,街1招1,(沒有對應詞彙),,張貼在街頭的海報或廣告
10387,食肆,商業、交通,sik si,食6肆3,(沒有對應詞彙),,酒樓餐廳飯館的總稱
10388,茶居,商業、交通,caa geoi,茶4居1,酒樓,飯館,"同""""茶樓"""""
10389,茶寮,商業、交通,caa liu,茶4寮4,酒樓,飯館,
10390,餅家,商業、交通,beng gaa,餅2家1,(不是粵方言詞),,專門經銷米、麵製點心的店鋪
10391,冰室,商業、交通,beng sat,冰1室7,(沒有對應詞彙),,專門提供冷飲的店鋪
10392,大排檔,商業、交通,daai paai dong,大6牌4(3排)檔,(沒有對應詞彙),,"低檔飲食店/小攤兒,也作""""大牌檔"""""
10393,熟食檔,商業、交通,sok sek dong,熟6食6檔3,(不是粵方言詞),,出焦燒烤鹵味食品的專門店
10394,卡位,其他,kaa wai,卡1位6*2,(沒有對應詞彙),,1.餐廳酒樓中的一種座位。2.茶樓酒館中隔開的背靠背的座椅
10395,菜牌,工具、材料,coi paai,菜3牌4*2,飯館中的菜單,,
10396,餅印,工具、材料,beng jan,餅2印3,(不是粵方言詞),,
10397,飛髮鋪,商業、交通,fei faat pou,飛1髮8鋪3*2,理髮店,,
10398,髮廊,商業、交通,faat lung,髮8廊4,理髮店,,
10399,影相鋪,商業、交通,jing soeng pou,影2相3*2鋪3*2,(不是粵方言詞),,
10400,黑房,商業、交通,hak fong,黑7房4*2,(不是粵方言詞),,用以沖洗底片照片的工作間
10401,板,商業、交通,baan,板2(辦),試樣,樣板,"也作""""辦""""。"
10402,馬場,房屋,maa coeng,馬5場4,(不是粵方言詞),,"賽馬場(的簡稱)。不是粵語方言詞""""。"
10403,短火,其他,dyun fo,短2火2,手槍,,
10404,狗仔,其他,gau zai,狗2仔2,(喻)手槍,,
10405,曲尺,其他,kuk ce,曲7尺8,(喻)曲尺手槍,,
